text,topic_label
"There was a baby elephant in the jungle and he was so excited to find the biggest mango ever! He grabbed it and was about to eat it when a monkey stepped out of the trees and said ""That mango belongs to me!""

The elephant was scared and backed away but the monkey said ""I have an idea! We can play a clapping game. Whoever claps the loudest gets the mango!"" 

The elephant didn't understand but the monkey said ""It's very simple! Just clap your hands and I'll clap mine and whoever makes the biggest noise wins!"" 

The elephant was excited and the monkey said ""On the count of three. Ready? One, two, three!""

The two of them clapped their hands and the elephant was surprised to see that the monkey had a much bigger and thicker mouth so he made more noise! The monkey smiled and said ""I win!"" As he took the mango, he laughed and said ""See you soon"".",2
"Once upon a time, there was a little boy named Timmy. Timmy loved to run around his house all day long. He would run on the floor and have so much fun. One day, Timmy's mom told him not to run because he might get hurt. But Timmy thought he was strong and could never get hurt.

One day, while running around, Timmy tripped and fell on the floor. He hurt his arm and started to cry. His mom came running to help him. She told him that running can be harmless, but sometimes accidents happen. Timmy learned that it's important to be careful and listen to his mom.

From that day on, Timmy still loved to run, but he always made sure to be careful and not run too fast. He learned that it's better to be safe than sorry.",1
"Once upon a time, there was a little boy named Tim. Tim loved to play with his toy truck. One day, he went outside to play in the dirt. He used his toy truck to load the dirt and move it from one place to another. Tim had so much fun playing with his truck in the dirt.

After a while, Tim's mom called him inside to do some math. Tim liked to count and add numbers. His mom gave him some blocks to help him learn. Tim counted the blocks and added them together. He was good at math and liked learning new things.

When Tim was done with his math, he looked at his hands. They were filthy from playing with the dirt outside. His mom told him to wash his hands before they could have a snack. Tim washed his hands and they were clean again. Then, he and his mom shared a yummy snack and talked about their day.",2
"Once upon a time, there was a pink bunny named Binky. Binky loved to dance and hop around in the grass. One day, Binky saw a big bird in the sky. The bird was circling around and around. Binky said, ""Hello birdie, why are you flying so high?"" The bird said, ""I am looking for a place to strike my nest."" Binky didn't know what ""strike"" meant, so she asked the bird. The bird said, ""It means to hit something really hard."" Binky was scared of the bird's nest, so she continued to dance and hop around in the grass.",2
"The little boy was proud. He wanted to show everyone his new toy. It was a red car that could reverse. He liked that it made funny noises. 

He was playing in his room when he heard a loud noise coming from outside. He opened the window to see what was happening. He saw a big witch! She was very scary. 

The witch saw the little boy. She asked him where she could find more children like him. The little boy was scared. He pointed down the street. 

The witch thanked the little boy and flew away. The little boy felt proud that the witch asked him for help. He continued playing with his toy and had a lot of fun.",2
"Mummy was playing with her little boy Toby. She said, ""Toby, I want to teach you something special."" Toby looked scared.
""What is it?"" Toby asked.
Mummy smiled. She pointed at the pond and said, ""Look, there's a frog."" Toby was excited! He ran over to the pond and saw the small frog hopping around. Mummy said, ""I'm going to teach you how to be kind to animals. Can you do that?"" Toby nodded.

Mummy gave Toby some food to give to the frog. Toby carefully placed the food near the frog and waited. The frog slowly inched toward the food. Toby was so excited.

Mummy said, ""See, you did it! You taught the frog a lesson about being kind."" Toby smiled and said, ""I like teaching frogs!""",2
"Once upon a time there was a nice boy named Jack. He wanted to go for a drive so he asked his mom for the license. His mom said yes but first Jack had to unlock the door.

""Do I need a key to unlock it?"", Jack asked.

His mom said, ""No, you need a special license to unlock it. You need to go to the store to get one.""

So, Jack went to the store and found a license that wasn't too expensive. He put the cheap license in the door and it unlocked it!

Jack was so excited - he finally got to go for a drive. He waved goodbye to his mom, jumped in the car and drove away. 

The end.",4
"Once upon a time, there was a little boy. He was so happy because he had a big yard all to himself. He could play and explore all he wanted.

One day, he found a funny-looking something in the corner. It was small and fit in his hand. He touched it and it was fun! He saw it had something inside. He wanted to fit it together and find out what was inside!

He tried and tried to fit the pieces together but it was too hard. He realized he needed help. So, he asked his mom to come outside and help. 

She smiled and said, ""I'm here to help!"" Her warm touch made the pieces fit perfectly! When they were done, they saw it was a new toy! He was so excited and ran inside to play! 

The end.",2
"Sara and Ben are friends. They like to play at the gym. The gym has many toys and balls and mats. Sara and Ben have fun at the gym.

One day, Sara and Ben go to the gym. But the gym is not the same. The gym is filthy. There is dirt and trash and bugs everywhere. The toys and balls and mats are broken and dirty. Sara and Ben are sad and scared.

""Who did this to the gym?"" Sara asks.

""I don't know. Maybe a bad person or a big animal,"" Ben says.

""We can't play here. It's too yucky and dangerous,"" Sara says.

""Let's go tell the teacher. Maybe she can help,"" Ben says.

Sara and Ben run to the teacher. They tell her what they saw. The teacher is shocked and angry.

""Who could change the gym like this? This is not okay. We have to clean it up and fix it,"" the teacher says.

The teacher calls some other teachers and helpers. They go to the gym with Sara and Ben. They bring brooms and bags and tools. They work hard to clean and fix the gym. They throw away the trash and bugs. They wash the dirt and dust. They mend the toys and balls and mats. They make the gym nice and clean and safe again.

Sara and Ben are happy and grateful. They thank the teacher and the helpers. They go back to the gym. They play with the toys and balls and mats. They have fun at the gym.",3
"Mama was measuring something. It was a big oak tree in their garden. She was very impatient. She kept on measuring it over and over again.

Mama was very excited. She was making something special for Daddy. She wanted it to be perfect.

Mama was so impatient. She kept on measuring and measuring. She measured it from the top, from the sides and from the bottom.

At last, she was finished. She smiled, she was very pleased. It was perfect!

Mama knew Daddy would be so happy. She couldn't wait to show him what she had made. She was so excited!",2
